Sent: Message 0, Received: Received: Message 0, RTT: 0.008317 sec
Sent: Message 1, Received: Received: Message 1, RTT: 0.000000 sec  
Sent: Message 2, Received: Received: Message 2, RTT: 0.000000 sec  
Sent: Message 3, Received: Received: Message 3, RTT: 0.000000 sec  
Sent: Message 4, Received: Received: Message 4, RTT: 0.000000 sec  
Sent: Message 5, Received: Received: Message 5, RTT: 0.000000 sec  
Sent: Message 6, Received: Received: Message 6, RTT: 0.000000 sec  
Sent: Message 7, Received: Received: Message 7, RTT: 0.000000 sec  
Sent: Message 8, Received: Received: Message 8, RTT: 0.000000 sec  
Sent: Message 9, Received: Received: Message 9, RTT: 0.000000 sec  
Sent: Message 10, Received: Received: Message 10, RTT: 0.000000 sec
Sent: Message 11, Received: Received: Message 11, RTT: 0.000000 sec
Sent: Message 12, Received: Received: Message 12, RTT: 0.000000 sec
Sent: Message 13, Received: Received: Message 13, RTT: 0.000000 sec
Sent: Message 14, Received: Received: Message 14, RTT: 0.000000 sec
Sent: Message 15, Received: Received: Message 15, RTT: 0.000000 sec
Sent: Message 16, Received: Received: Message 16, RTT: 0.000000 sec
Sent: Message 17, Received: Received: Message 17, RTT: 0.000000 sec
Sent: Message 18, Received: Received: Message 18, RTT: 0.000000 sec
Sent: Message 19, Received: Received: Message 19, RTT: 0.000000 sec
Sent: Message 20, Received: Received: Message 20, RTT: 0.000000 sec
Sent: Message 21, Received: Received: Message 21, RTT: 0.000000 sec
Sent: Message 22, Received: Received: Message 22, RTT: 0.000000 sec
Sent: Message 23, Received: Received: Message 23, RTT: 0.000000 sec
Sent: Message 24, Received: Received: Message 24, RTT: 0.000000 sec
Sent: Message 25, Received: Received: Message 25, RTT: 0.000000 sec
Sent: Message 26, Received: Received: Message 26, RTT: 0.000000 sec
Sent: Message 27, Received: Received: Message 27, RTT: 0.000000 sec
Sent: Message 28, Received: Received: Message 28, RTT: 0.000000 sec
Sent: Message 29, Received: Received: Message 29, RTT: 0.000000 sec
Sent: Message 30, Received: Received: Message 30, RTT: 0.000000 sec
Sent: Message 31, Received: Received: Message 31, RTT: 0.000000 sec
Sent: Message 32, Received: Received: Message 32, RTT: 0.000000 sec
Sent: Message 33, Received: Received: Message 33, RTT: 0.000000 sec
Sent: Message 34, Received: Received: Message 34, RTT: 0.000000 sec
Sent: Message 35, Received: Received: Message 35, RTT: 0.000000 sec
Sent: Message 36, Received: Received: Message 36, RTT: 0.000000 sec
Sent: Message 37, Received: Received: Message 37, RTT: 0.000000 sec
Sent: Message 38, Received: Received: Message 38, RTT: 0.000000 sec
Sent: Message 39, Received: Received: Message 39, RTT: 0.000000 sec
Sent: Message 40, Received: Received: Message 40, RTT: 0.000000 sec
Sent: Message 41, Received: Received: Message 41, RTT: 0.000000 sec
Sent: Message 42, Received: Received: Message 42, RTT: 0.000000 sec
Sent: Message 43, Received: Received: Message 43, RTT: 0.000000 sec
Sent: Message 44, Received: Received: Message 44, RTT: 0.000000 sec
Sent: Message 45, Received: Received: Message 45, RTT: 0.000000 sec
Sent: Message 46, Received: Received: Message 46, RTT: 0.000000 sec
Sent: Message 47, Received: Received: Message 47, RTT: 0.000000 sec
Sent: Message 48, Received: Received: Message 48, RTT: 0.000000 sec
Sent: Message 49, Received: Received: Message 49, RTT: 0.000000 sec
Sent: Message 50, Received: Received: Message 50, RTT: 0.000000 sec
Sent: Message 51, Received: Received: Message 51, RTT: 0.000000 sec
Sent: Message 52, Received: Received: Message 52, RTT: 0.000000 sec
Sent: Message 53, Received: Received: Message 53, RTT: 0.000000 sec
Sent: Message 54, Received: Received: Message 54, RTT: 0.000000 sec
Sent: Message 55, Received: Received: Message 55, RTT: 0.000000 sec
Sent: Message 56, Received: Received: Message 56, RTT: 0.000000 sec
Sent: Message 57, Received: Received: Message 57, RTT: 0.000000 sec
Sent: Message 58, Received: Received: Message 58, RTT: 0.000000 sec
Sent: Message 59, Received: Received: Message 59, RTT: 0.000000 sec
Sent: Message 60, Received: Received: Message 60, RTT: 0.000000 sec
Sent: Message 61, Received: Received: Message 61, RTT: 0.000000 sec
Sent: Message 62, Received: Received: Message 62, RTT: 0.000000 sec
Sent: Message 63, Received: Received: Message 63, RTT: 0.000000 sec
Sent: Message 64, Received: Received: Message 64, RTT: 0.000000 sec
Sent: Message 65, Received: Received: Message 65, RTT: 0.000000 sec
Sent: Message 66, Received: Received: Message 66, RTT: 0.000000 sec
Sent: Message 67, Received: Received: Message 67, RTT: 0.000000 sec
Sent: Message 68, Received: Received: Message 68, RTT: 0.000000 sec
Sent: Message 69, Received: Received: Message 69, RTT: 0.000000 sec
Sent: Message 70, Received: Received: Message 70, RTT: 0.000000 sec
Sent: Message 71, Received: Received: Message 71, RTT: 0.000000 sec
Sent: Message 72, Received: Received: Message 72, RTT: 0.000000 sec
Sent: Message 73, Received: Received: Message 73, RTT: 0.000000 sec
Sent: Message 74, Received: Received: Message 74, RTT: 0.000000 sec
Sent: Message 75, Received: Received: Message 75, RTT: 0.000000 sec
Sent: Message 76, Received: Received: Message 76, RTT: 0.000000 sec
Sent: Message 77, Received: Received: Message 77, RTT: 0.000000 sec
Sent: Message 78, Received: Received: Message 78, RTT: 0.000000 sec
Sent: Message 79, Received: Received: Message 79, RTT: 0.000000 sec
Sent: Message 80, Received: Received: Message 80, RTT: 0.000000 sec
Sent: Message 81, Received: Received: Message 81, RTT: 0.000000 sec
Sent: Message 82, Received: Received: Message 82, RTT: 0.000000 sec
Sent: Message 83, Received: Received: Message 83, RTT: 0.000000 sec
Sent: Message 84, Received: Received: Message 84, RTT: 0.000000 sec
Sent: Message 85, Received: Received: Message 85, RTT: 0.000000 sec
Sent: Message 86, Received: Received: Message 86, RTT: 0.000000 sec
Sent: Message 87, Received: Received: Message 87, RTT: 0.000000 sec
Sent: Message 88, Received: Received: Message 88, RTT: 0.000000 sec
Sent: Message 89, Received: Received: Message 89, RTT: 0.000000 sec
Sent: Message 90, Received: Received: Message 90, RTT: 0.000000 sec
Sent: Message 91, Received: Received: Message 91, RTT: 0.000000 sec
Sent: Message 92, Received: Received: Message 92, RTT: 0.000000 sec
Sent: Message 93, Received: Received: Message 93, RTT: 0.000000 sec
Sent: Message 94, Received: Received: Message 94, RTT: 0.000000 sec
Sent: Message 95, Received: Received: Message 95, RTT: 0.000000 sec
Sent: Message 96, Received: Received: Message 96, RTT: 0.007993 sec
Sent: Message 97, Received: Received: Message 97, RTT: 0.000000 sec
Sent: Message 98, Received: Received: Message 98, RTT: 0.000000 sec
Sent: Message 99, Received: Received: Message 99, RTT: 0.000000 sec

Average Round-Trip Time (RTT): 0.000163 sec
Throughput: 6130.86 messages per second
